Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
89,12:08:05.04,0.35264,0.11578,0.1799,0.0,0.0,-0.0,0
90,12:08:05.10,0.11358,0.17378,0.19436,0.0,0.0,-0.0,0
91,12:08:05.17,0.12258,-0.01559,0.20309,-0.03333,0.0,-0.0,0
92,12:08:05.23,0.01558,-0.03559,0.16554,0.0,0.0,-0.0,0
93,12:08:05.29,0.20564,-0.01559,0.00174,0.0,0.0,-0.0,0
94,12:08:05.36,0.14664,0.01341,0.15319,0.0,0.0,-0.0,0
95,12:08:05.42,0.13764,0.06241,0.21154,0.0,0.0,-0.0,2
96,12:08:05.48,0.07864,0.17041,0.16836,0.0,0.0,-0.03333,2
97,12:08:05.55,0.29364,0.13141,0.25064,0.0,0.0,-0.0,2
98,12:08:05.61,0.15664,0.23941,0.2199,0.0,0.0,-0.0,2
99,12:08:05.67,0.03864,0.27841,0.12814,0.0,0.0,-0.0,2
100,12:08:05.73,0.27464,0.53341,-0.00833,0.13333,-0.03333,-0.0,2
101,12:08:05.80,0.64664,0.09241,-0.44397,0.36667,-0.13333,0.06667,2
102,12:08:05.86,0.00558,-0.19822,-1.3036,0.96667,-0.26667,0.23333,2
103,12:08:05.92,-0.60142,-0.65946,-1.55361,1.33333,-0.4,0.4,2
104,12:08:05.98,-0.86721,-0.89184,-1.26907,2.33333,-0.13333,0.26667,2
105,12:08:06.05,-1.21021,-0.83742,-0.90042,2.6,-0.4,0.13333,2
106,12:08:06.11,-0.716,-0.89658,-0.49745,2.53333,-0.53333,0.06667,2
107,12:08:06.18,0.66942,-2.36883,-0.95074,2.96667,-0.46667,0.1,2
108,12:08:06.24,-0.538,-1.86648,0.22557,3.03333,-1.06667,0.13333,2
109,12:08:06.30,-0.33416,-1.20137,1.24838,2.66667,-1.03333,-0.03333,2
110,12:08:06.37,0.15601,-1.48528,0.48873,2.16667,-0.2,-0.06667,2
111,12:08:06.43,1.02146,-1.80154,0.48607,1.96667,0.56667,0.13333,2
112,12:08:06.49,1.94659,-2.75119,1.47059,1.06667,-0.03333,0.23333,2
113,12:08:06.56,0.93009,-1.45823,1.34803,0.5,-0.13333,0.03333,2
114,12:08:06.62,0.77042,-0.57212,0.65704,0.23333,0.43333,-0.0,2
115,12:08:06.68,1.42742,-0.84712,0.56211,-0.16667,-0.1,-0.13333,2
116,12:08:06.74,1.61452,-1.10683,0.60163,-0.53333,0.2,-0.2,2
117,12:08:06.81,2.54998,-0.94828,0.32911,-0.56667,0.16667,-0.2,2
118,12:08:06.87,2.60798,-0.40829,0.7002,-1.26667,-0.06667,-0.23333,2
119,12:08:06.94,2.60798,-0.40829,0.7002,-1.26667,-0.06667,-0.23333,2
120,12:08:07.00,2.05809,-1.8692,1.3335,-2.23333,0.76667,-0.16667,2
121,12:08:07.06,1.18822,-0.14328,1.01926,-2.26667,0.56667,-0.36667,2
122,12:08:07.12,1.027,-0.49083,0.63427,-2.1,0.73333,-0.26667,2
123,12:08:07.18,1.23577,-0.69048,0.50946,-2.43333,0.66667,-0.26667,2
124,12:08:07.25,1.43084,0.06359,0.30808,-2.3,0.4,-0.16667,2
125,12:08:07.31,1.31629,-0.08823,-0.31913,-2.1,0.76667,-0.13333,2
126,12:08:07.37,0.757,0.22142,-0.87458,-2.16667,0.7,0.1,2
127,12:08:07.43,-0.40779,0.872,-2.85228,-1.53333,0.83333,0.16667,2
128,12:08:07.50,-0.32821,1.67646,-1.60797,-0.66667,0.23333,-0.0,2
129,12:08:07.56,0.25464,1.41638,-0.54574,-0.2,0.13333,0.06667,2
130,12:08:07.63,-0.24942,1.18851,0.0134,0.06667,0.0,0.13333,2
131,12:08:07.69,-0.42642,0.77516,0.1256,0.0,-0.13333,0.1,2
132,12:08:07.75,-0.29436,0.80416,0.34311,0.0,0.0,0.06667,2
133,12:08:07.82,-0.19636,0.55916,0.14764,0.03333,0.0,-0.0,2
134,12:08:07.88,-0.08836,0.48116,-0.00776,0.1,0.0,-0.0,2
135,12:08:07.94,0.05864,0.32416,0.27881,0.0,-0.03333,-0.0,2
136,12:08:08.01,0.05864,0.41139,0.09424,0.0,0.03333,-0.0,2
137,12:08:08.07,0.11764,0.40139,0.12153,0.0,0.03333,-0.03333,2
138,12:08:08.13,0.06864,0.55839,0.21233,0.06667,0.03333,-0.03333,2
139,12:08:08.20,-0.01036,0.39123,0.32918,0.1,-0.03333,-0.0,2
140,12:08:08.26,-0.13736,0.39123,0.22504,0.06667,0.0,-0.03333,2
141,12:08:08.33,0.20079,0.34223,0.22707,0.0,0.0,-0.06667,0
142,12:08:08.39,0.27879,0.36123,0.33472,0.06667,-0.03333,-0.0,0
143,12:08:08.45,0.11179,0.31223,0.26313,0.1,0.0,-0.0,0
144,12:08:08.52,0.12179,0.31223,0.17152,0.03333,0.03333,-0.0,0
145,12:08:08.58,0.43579,-0.09925,0.01746,0.0,0.0,-0.0,0
146,12:08:08.64,0.15179,0.19523,0.07997,0.06667,-0.03333,-0.0,0
147,12:08:08.70,0.21979,0.16523,0.12151,0.06667,0.0,-0.0,0
148,12:08:08.76,0.17079,0.12623,0.26882,0.03333,0.0,-0.0,0
149,12:08:08.82,0.19079,0.13623,0.19696,0.06667,0.0,-0.0,0
150,12:08:08.89,0.21979,0.04823,0.15121,0.0,0.0,-0.03333,0
151,12:08:08.95,0.16079,0.09723,0.09462,0.1,0.0,-0.0,0
152,12:08:09.01,0.12179,0.12623,0.51792,0.13333,-0.03333,-0.0,0
153,12:08:09.08,0.21979,0.03823,0.34475,0.03333,0.03333,-0.0,0
154,12:08:09.14,0.09279,0.04823,0.19372,0.0,0.0,-0.0,0
155,12:08:09.20,0.06279,0.05723,0.15794,0.0,0.0,-0.0,0
156,12:08:09.26,0.11179,0.01823,0.16879,0.03333,-0.03333,-0.0,0
157,12:08:09.33,0.28879,-0.03077,0.15524,0.03333,-0.03333,-0.0,0
158,12:08:09.39,0.12179,-0.03077,0.14062,0.0,0.0,-0.0,0
159,12:08:09.45,0.05379,-0.13877,0.07844,0.03333,0.0,-0.0,0
160,12:08:09.52,0.10279,-0.19777,0.21842,0.03333,0.0,-0.0,2
161,12:08:09.58,0.08279,0.11639,0.14398,0.0,0.0,-0.0,2
162,12:08:09.64,0.01379,0.04839,0.09127,0.06667,0.0,-0.0,2
163,12:08:09.71,0.01379,0.09739,0.13857,0.06667,0.03333,-0.0,2
164,12:08:09.77,0.01379,0.12639,0.28485,0.03333,0.0,-0.0,2
165,12:08:09.83,0.166,0.23439,0.2889,0.06667,0.0,-0.03333,2
166,12:08:09.89,0.185,0.18539,0.11052,0.26667,-0.06667,-0.0,2
167,12:08:09.96,0.087,0.36316,-0.19459,0.53333,-0.03333,-0.0,2
168,12:08:10.02,-0.33821,-0.05462,-1.48191,1.16667,0.06667,0.06667,2
169,12:08:10.09,-0.18636,-0.366,-1.00631,1.33333,-0.26667,0.1,2
170,12:08:10.15,-0.49,-0.392,-0.33446,1.5,-0.46667,0.1,2
171,12:08:10.21,-0.883,-0.78564,0.02266,1.53333,-0.26667,0.06667,2
172,12:08:10.27,0.29336,-1.34651,-0.61041,1.66667,-0.23333,-0.0,2
173,12:08:10.33,-0.06069,-1.53975,-0.277,1.53333,-0.8,0.03333,2
174,12:08:10.40,-0.11846,-1.59678,0.43167,1.4,-0.86667,-0.06667,2
175,12:08:10.46,0.47884,-1.58991,0.2951,1.1,-0.33333,-0.0,2
176,12:08:10.53,0.71577,-1.734,0.07443,1.06667,-0.43333,0.1,2
177,12:08:10.59,0.82301,-1.52222,0.32999,1.46667,-0.3,0.13333,2
178,12:08:10.65,0.88,-1.37737,0.46747,1.7,0.0,0.23333,2
179,12:08:10.71,0.83446,-1.60475,0.72465,2.03333,0.23333,0.13333,2
180,12:08:10.78,0.85982,-1.3991,0.78544,1.96667,-0.23333,0.03333,2
181,12:08:10.84,1.66259,-1.41961,1.03141,1.6,-0.66667,-0.0,2
182,12:08:10.90,2.071,-1.01629,0.8313,0.16667,0.0,-0.06667,2
183,12:08:10.97,2.27651,-1.11429,0.95137,-0.1,-0.16667,-0.26667,2
184,12:08:11.03,2.80291,-1.43719,1.09617,-0.96667,0.03333,-0.3,2
