,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
87,MinMaxScaler,4,20,random,manhattan,0.2893319241329285,1.327827662491794,83.56142697133316,1.1072239358629181,0.3317891588868578,0.16651599961790595,0.4026363498996389,0.5249730778427946,0.3564786465617993
83,MinMaxScaler,4,10,random,manhattan,0.2865992097937643,1.3295575099159627,83.59246209497418,1.104365153837374,0.3177405477631967,0.16404636368411799,0.40008574324087015,0.5256747756717056,0.3518868575899726
81,MinMaxScaler,4,10,k-means++,manhattan,0.2855624074849974,1.3280771088635233,83.52464329205534,1.1018622394558453,0.31241045078261187,0.1618841536098324,0.40226854892028713,0.5241414063409453,0.35017613991341917
85,MinMaxScaler,4,20,k-means++,manhattan,0.28736873180900835,1.3447736389256217,83.59101896830964,1.108319865280414,0.32169658348501534,0.16746274779463274,0.3776500304545981,0.5256421468715414,0.3481128771514469
80,MinMaxScaler,4,10,k-means++,euclidean,0.27253614221495853,1.327827662491794,83.56142697133315,1.007771709667586,0.2454437237633519,0.0806015124997592,0.4026363498996389,0.5249730778427942,0.3134136660013861
86,MinMaxScaler,4,20,random,euclidean,0.2705502029109869,1.3280771088635233,83.52464329205534,1.0034361169408006,0.2352342084119507,0.07685609382262136,0.40226854892028713,0.5241414063409453,0.3096250643739511
82,MinMaxScaler,4,10,random,euclidean,0.26925877235126594,1.3317875315312868,83.53970435734315,1.0011912019489881,0.22859509305813702,0.07491676347755104,0.3967976451683031,0.5244819339617077,0.3061978589164247
57,StandardScaler,5,10,k-means++,manhattan,0.2553825581847908,1.1318058008316927,61.22264020641983,1.3105509149644128,0.15725886376420084,0.3421654927974459,0.6916645373739064,0.019897655725645426,0.30274663741529967
84,MinMaxScaler,4,20,k-means++,euclidean,0.26733036638663227,1.3560588375058402,83.53455953295274,1.0028398715877587,0.21868135085046353,0.07634101119789898,0.36101035331193565,0.5243656105293723,0.2950995814724176
42,StandardScaler,3,10,random,euclidean,0.25163963800981337,1.31544791121453,70.09245050892463,1.2678383551939194,0.13801688546754323,0.30526709638570865,0.4208899112256414,0.22044226138315098,0.2711540386155111
46,StandardScaler,3,20,random,euclidean,0.2512831304202717,1.3170219139959818,70.15870611692281,1.2642883872105708,0.1361841156034102,0.3022003608259012,0.4185690926845376,0.22194028719491413,0.2697234640771908
40,StandardScaler,3,10,k-means++,euclidean,0.2512831304202717,1.3170219139959818,70.15870611692281,1.2642883872105708,0.1361841156034102,0.3022003608259012,0.4185690926845376,0.22194028719491413,0.2697234640771908
44,StandardScaler,3,20,k-means++,euclidean,0.2512831304202717,1.3170219139959818,70.15870611692281,1.2642883872105708,0.1361841156034102,0.3022003608259012,0.4185690926845376,0.22194028719491413,0.2697234640771908
41,StandardScaler,3,10,k-means++,manhattan,0.24959643380560448,1.3170219139959818,70.15870611692281,1.1978338527849868,0.12751297699098468,0.24479181945614295,0.4185690926845376,0.22194028719491413,0.25320354408164486
43,StandardScaler,3,10,random,manhattan,0.24959643380560448,1.3170219139959818,70.15870611692281,1.1978338527849868,0.12751297699098468,0.24479181945614295,0.4185690926845376,0.22194028719491413,0.25320354408164486
45,StandardScaler,3,20,k-means++,manhattan,0.24959643380560448,1.3170219139959818,70.15870611692281,1.1978338527849868,0.12751297699098468,0.24479181945614295,0.4185690926845376,0.22194028719491413,0.25320354408164486
47,StandardScaler,3,20,random,manhattan,0.24959643380560448,1.3170219139959818,70.15870611692281,1.1978338527849868,0.12751297699098468,0.24479181945614295,0.4185690926845376,0.22194028719491413,0.25320354408164486
61,StandardScaler,5,20,k-means++,manhattan,0.26772345310084783,1.2865520022316992,63.89433849404228,1.1218385654847802,0.22070217033633086,0.17914124146938387,0.463496037542362,0.0803042102351337,0.2359109148958026
63,StandardScaler,5,20,random,manhattan,0.2678102830470864,1.2857455711815895,63.92067054701545,1.099414951812028,0.22114855440623213,0.1597699981927764,0.46468509524624374,0.08089957259346567,0.23162580510967948
120,PowerTransformer,5,10,k-means++,euclidean,0.25825908630654926,1.3098167283814,60.5556010983725,1.2632409094556631,0.17204680716161408,0.30129546892429804,0.4291929165833703,0.004816037255889605,0.226837807481293
123,PowerTransformer,5,10,random,manhattan,0.26011740382354465,1.2718239928904107,60.34259443718865,1.1906302916474287,0.18160023166940226,0.238568828938646,0.48521203293678355,0.0,0.22634527338620797
109,PowerTransformer,3,20,k-means++,manhattan,0.23091055245216877,1.3274680979390776,68.19101718262931,1.2534177249941665,0.031450729695288726,0.2928094461658045,0.4031665167395591,0.17745124087640463,0.22621948336926423
111,PowerTransformer,3,20,random,manhattan,0.23091055245216877,1.3274680979390776,68.19101718262931,1.2534177249941665,0.031450729695288726,0.2928094461658045,0.4031665167395591,0.17745124087640463,0.22621948336926423
107,PowerTransformer,3,10,random,manhattan,0.23091055245216877,1.3274680979390776,68.19101718262931,1.2534177249941665,0.031450729695288726,0.2928094461658045,0.4031665167395591,0.17745124087640463,0.22621948336926423
105,PowerTransformer,3,10,k-means++,manhattan,0.23091055245216877,1.3274680979390776,68.19101718262931,1.2534177249941665,0.031450729695288726,0.2928094461658045,0.4031665167395591,0.17745124087640463,0.22621948336926423
99,PowerTransformer,2,10,random,manhattan,0.24054510892170572,1.5865461843920492,79.14544142716028,1.3472641712654467,0.08098102097003422,0.3738812291485387,0.021163871179309495,0.42512854347938145,0.22528866619431598
97,PowerTransformer,2,10,k-means++,manhattan,0.24054510892170572,1.5865461843920492,79.14544142716028,1.3472641712654467,0.08098102097003422,0.3738812291485387,0.021163871179309495,0.42512854347938145,0.22528866619431598
103,PowerTransformer,2,20,random,manhattan,0.24054510892170572,1.5865461843920492,79.14544142716028,1.3472641712654467,0.08098102097003422,0.3738812291485387,0.021163871179309495,0.42512854347938145,0.22528866619431598
101,PowerTransformer,2,20,k-means++,manhattan,0.24054510892170572,1.5865461843920492,79.14544142716028,1.3472641712654467,0.08098102097003422,0.3738812291485387,0.021163871179309495,0.42512854347938145,0.22528866619431598
106,PowerTransformer,3,10,random,euclidean,0.2280845439320695,1.3274680979390776,68.19101718262931,1.2493294637856158,0.016922502517628515,0.28927769148946597,0.4031665167395591,0.17745124087640463,0.22170448790576455
108,PowerTransformer,3,20,k-means++,euclidean,0.2280845439320695,1.3274680979390776,68.19101718262931,1.2493294637856158,0.016922502517628515,0.28927769148946597,0.4031665167395591,0.17745124087640463,0.22170448790576455
110,PowerTransformer,3,20,random,euclidean,0.2280845439320695,1.3274680979390776,68.19101718262931,1.2493294637856158,0.016922502517628515,0.28927769148946597,0.4031665167395591,0.17745124087640463,0.22170448790576455
104,PowerTransformer,3,10,k-means++,euclidean,0.2280845439320695,1.3274680979390776,68.19101718262931,1.2493294637856158,0.016922502517628515,0.28927769148946597,0.4031665167395591,0.17745124087640463,0.22170448790576455
59,StandardScaler,5,10,random,manhattan,0.26392216118688705,1.2978914792956884,63.5726374469254,1.0945374448270528,0.20116010876721527,0.1555564322721275,0.44677632844994547,0.07303061503598465,0.2191308711313182
62,StandardScaler,5,20,random,euclidean,0.2549855103984892,1.2857455711815895,63.920670547015455,1.0314656456154567,0.15521768080287926,0.10107015792528593,0.46468509524624374,0.08089957259346582,0.20046812664196867
56,StandardScaler,5,10,k-means++,euclidean,0.2549855103984892,1.2857455711815895,63.920670547015455,1.0314656456154567,0.15521768080287926,0.10107015792528593,0.46468509524624374,0.08089957259346582,0.20046812664196867
35,StandardScaler,2,10,random,manhattan,0.24548306733251357,1.5975736908672045,76.36133754013045,1.2738548910332392,0.10636657132341203,0.31046464309369143,0.004904153095407543,0.36218052124532607,0.19597897218945926
96,PowerTransformer,2,10,k-means++,euclidean,0.23231291175120528,1.5865461843920492,79.14544142716028,1.2529692209084347,0.03866011860413432,0.29242199381837936,0.021163871179309495,0.42512854347938145,0.19434363177030117
98,PowerTransformer,2,10,random,euclidean,0.23231291175120528,1.5865461843920492,79.14544142716028,1.2529692209084347,0.03866011860413432,0.29242199381837936,0.021163871179309495,0.42512854347938145,0.19434363177030117
100,PowerTransformer,2,20,k-means++,euclidean,0.23231291175120528,1.5865461843920492,79.14544142716028,1.2529692209084347,0.03866011860413432,0.29242199381837936,0.021163871179309495,0.42512854347938145,0.19434363177030117
102,PowerTransformer,2,20,random,euclidean,0.23231291175120528,1.5865461843920492,79.14544142716028,1.2529692209084347,0.03866011860413432,0.29242199381837936,0.021163871179309495,0.42512854347938145,0.19434363177030117
33,StandardScaler,2,10,k-means++,manhattan,0.24390988778040906,1.600899737465042,76.34000525370352,1.2685143370887064,0.09827901257697864,0.30585106157194497,0.0,0.36169820259099666,0.19145706918498007
37,StandardScaler,2,20,k-means++,manhattan,0.24390988778040906,1.600899737465042,76.34000525370352,1.2685143370887064,0.09827901257697864,0.30585106157194497,0.0,0.36169820259099666,0.19145706918498007
39,StandardScaler,2,20,random,manhattan,0.24390988778040906,1.600899737465042,76.34000525370352,1.2685143370887064,0.09827901257697864,0.30585106157194497,0.0,0.36169820259099666,0.19145706918498007
60,StandardScaler,5,20,k-means++,euclidean,0.24913556784223412,1.2962476003501275,63.58120356528583,0.999146710278819,0.1251437111636967,0.07315057422287397,0.44920017723925254,0.0732242932286427,0.18017968896361647
125,PowerTransformer,5,20,k-means++,manhattan,0.24886142461857236,1.3308823497854794,60.667208716487366,1.083843355854892,0.123734368267436,0.1463180551699954,0.39813230772639663,0.007339462785846974,0.16888104848741875
36,StandardScaler,2,20,k-means++,euclidean,0.24017214004061294,1.5975736908672045,76.36133754013045,1.1777405459961852,0.07906362525230179,0.22743367461304148,0.004904153095407543,0.36218052124532607,0.16839549355151923
32,StandardScaler,2,10,k-means++,euclidean,0.24025054593713394,1.598490014634819,76.33303005246246,1.1727796720087065,0.07946670212507964,0.22314808985946466,0.0035530619699060202,0.36154049471060656,0.16692708716626423
34,StandardScaler,2,10,random,euclidean,0.24065128764052632,1.600899737465042,76.34000525370352,1.1621557916611702,0.08152687514474292,0.21397036437074177,0.0,0.36169820259099666,0.16429886052662035
