,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,seconds
850,12:55:09.340000,0.15033,-0.03831,-4.1039,0.0,0.06667,-0.2,46509.34
851,12:55:09.370000,0.92533,-0.22431,-2.98936,-0.06667,-0.16667,-0.06667,46509.37
852,12:55:09.400000,1.04333,-0.22042,-2.97494,-0.03333,0.0,-0.0,46509.4
853,12:55:09.430000,0.23574,-0.16142,-4.35599,0.23333,0.16667,-0.03333,46509.43
854,12:55:09.460000,0.41174,-0.27942,-4.32151,0.2,-0.23333,-0.0,46509.46
855,12:55:09.490000,0.41174,-0.27942,-4.32151,0.2,-0.23333,-0.0,46509.49
856,12:55:09.520000,0.41174,-0.27942,-4.32151,0.2,-0.23333,-0.0,46509.52
857,12:55:09.550000,-0.00667,-0.14142,-4.19383,0.56667,-0.53333,-0.03333,46509.55
858,12:55:09.580000,0.05844,0.05458,-3.96541,0.46667,-0.9,0.03333,46509.58
859,12:55:09.610000,0.19798,-0.70431,-3.71534,0.9,-0.6,0.03333,46509.61
860,12:55:09.640000,0.19798,-0.70431,-3.71534,0.9,-0.6,0.03333,46509.64
861,12:55:09.670000,-0.34651,-0.35231,-3.2486,1.1,-0.7,-0.03333,46509.67
862,12:55:09.710000,-0.1861,-0.94931,-0.45477,0.76667,-2.16667,0.06667,46509.71
863,12:55:09.740000,-0.13822,-0.73331,-0.0167,1.26667,-2.06667,0.13333,46509.74
864,12:55:09.780000,-0.8506,-0.49931,-0.1839,0.7,-2.46667,0.13333,46509.78
865,12:55:09.810000,0.55165,-1.03731,0.09226,0.7,-2.5,0.13333,46509.81
866,12:55:09.840000,-0.91242,-0.68042,-0.28785,1.43333,-1.16667,0.13333,46509.84
867,12:55:09.870000,-0.91242,-0.68042,-0.28785,1.43333,-1.16667,0.13333,46509.87
868,12:55:09.910000,-1.85315,-0.49442,-0.60891,1.43333,-1.56667,0.13333,46509.91
869,12:55:09.930000,-0.75088,-1.05421,-0.24908,1.16667,-2.4,0.23333,46509.93
870,12:55:09.960000,-1.1818,-1.18121,-0.45202,1.23333,-2.43333,0.26667,46509.96
871,12:55:09.990000,-1.3737,-0.324,-0.56279,1.13333,-2.86667,0.26667,46509.99
