,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
195,11:22:21.18,5.08069,0.63929,2.06197,1.4,-3.23333,-1.1,1
196,11:22:21.25,4.88842,0.39225,2.37807,1.0,-2.3,-0.56667,1
197,11:22:21.31,5.51462,0.64601,3.01741,1.53333,-1.36667,-0.86667,1
198,11:22:21.37,4.684,0.58482,2.64118,0.4,-1.1,-0.23333,1
199,11:22:21.44,4.38346,0.68382,2.71263,-0.16667,-0.56667,-0.16667,1
200,11:22:21.50,4.11946,0.98782,2.16551,-0.13333,0.33333,-0.1,1
201,11:22:21.57,2.85201,0.654,0.30318,-0.2,0.26667,-0.0,1
202,11:22:21.63,2.20677,0.939,0.00976,-0.2,0.13333,-0.03333,1
203,11:22:21.69,2.58684,0.75525,0.27593,-0.13333,0.1,-0.0,1
204,11:22:21.76,2.49649,0.55877,0.10622,-0.2,-0.13333,-0.03333,1
205,11:22:21.82,1.85429,0.44984,-0.11036,-0.1,-0.1,0.03333,1
206,11:22:21.89,1.76354,0.25384,0.29613,0.03333,0.0,-0.0,1
207,11:22:21.95,1.60654,0.28149,0.30846,-0.16667,-0.06667,-0.06667,1
208,11:22:22.01,1.66142,0.42662,0.19429,-0.1,0.13333,-0.03333,1
209,11:22:22.07,1.639,0.20829,0.0079,0.0,0.0,-0.03333,1
210,11:22:22.14,1.38931,0.27629,0.08172,-0.13333,0.0,-0.0,1
211,11:22:22.20,1.27742,0.34529,0.26181,-0.03333,0.03333,-0.0,1
212,11:22:22.26,1.09636,0.17554,0.08689,-0.06667,0.06667,-0.06667,1
213,11:22:22.32,0.676,-0.21058,0.27906,-0.06667,0.0,-0.03333,1
214,11:22:22.39,0.646,0.01542,0.23313,-0.06667,0.06667,-0.06667,1
215,11:22:22.45,0.636,-0.028,0.23077,-0.06667,0.06667,-0.06667,0
216,11:22:22.51,0.64179,-0.106,0.23136,0.0,0.03333,-0.0,0
217,11:22:22.58,0.41579,0.11,0.07129,0.0,0.0,-0.03333,0
218,11:22:22.64,-0.01036,-0.02169,-0.27411,0.2,-0.06667,0.1,0
219,11:22:22.70,0.61764,-0.06069,0.97144,0.16667,-0.13333,-0.0,0
220,11:22:22.77,0.10358,-0.46269,0.39025,0.0,0.26667,-0.0,0
221,11:22:22.83,0.16769,-0.35958,0.28387,-0.1,0.0,-0.0,0
222,11:22:22.89,-0.01831,0.06242,0.09738,-0.06667,0.0,-0.0,0
223,11:22:22.96,0.31469,-0.34364,0.34112,-0.03333,0.0,0.03333,0
224,11:22:23.02,0.24669,-0.46164,0.25649,-0.1,-0.1,-0.0,0
225,11:22:23.08,-0.06731,-0.11864,-0.06133,0.0,0.0,-0.03333,0
226,11:22:23.15,0.17769,-0.16764,-0.00073,0.0,0.06667,0.03333,0
227,11:22:23.21,-0.07731,-0.09864,0.02558,0.0,-0.2,-0.03333,0
228,11:22:23.27,0.21158,-0.05964,0.19672,0.03333,0.1,-0.0,0
229,11:22:23.33,0.13869,-0.26979,0.20571,0.0,0.0,-0.0,0
230,11:22:23.40,0.02069,-0.30979,0.27717,0.0,-0.06667,-0.03333,0
231,11:22:23.46,0.01069,-0.25079,0.24413,0.03333,0.13333,-0.0,0
232,11:22:23.52,-0.03831,-0.35879,0.23698,0.0,-0.06667,-0.0,0
233,11:22:23.58,-0.13631,-0.26979,0.1485,0.0,0.03333,-0.0,0
234,11:22:23.65,0.26058,-0.33879,0.24476,0.03333,-0.03333,-0.0,0
235,11:22:23.71,0.07358,-0.18179,0.16714,0.0,0.0,-0.0,0
236,11:22:23.78,0.21158,-0.30979,0.30733,0.06667,-0.03333,-0.0,0
237,11:22:23.84,0.15258,-0.18764,0.39318,0.0,-0.03333,-0.0,0
238,11:22:23.90,-0.07342,-0.19664,0.20669,0.0,0.0,-0.0,0
239,11:22:23.97,0.47064,-0.35364,0.2101,0.0,0.0,-0.03333,0
240,11:22:24.03,0.02458,0.21536,-0.00739,0.0,0.03333,-0.0,1
241,11:22:24.09,-0.00442,-0.06964,0.17512,0.16667,0.03333,0.03333,1
242,11:22:24.16,0.13258,-0.38364,0.50164,0.13333,-0.13333,0.03333,1
243,11:22:24.22,0.36264,-0.44264,0.5282,0.13333,0.0,-0.0,1
244,11:22:24.29,0.41164,-0.15358,0.15419,0.03333,0.03333,-0.0,1
245,11:22:24.35,0.41164,-0.03558,-0.03722,0.0,0.03333,-0.03333,1
246,11:22:24.41,0.28958,-0.13358,0.11806,0.1,0.03333,-0.0,1
247,11:22:24.48,0.33858,-0.18258,0.4258,0.0,0.03333,-0.0,1
248,11:22:24.54,0.28958,-0.14358,0.33244,0.06667,0.16667,-0.0,1
249,11:22:24.60,0.32469,-0.08458,0.53027,0.1,0.16667,0.03333,1
250,11:22:24.67,0.33658,0.10531,1.63812,0.36667,1.1,-0.1,1
251,11:22:24.73,1.51438,-0.12969,2.54391,-0.23333,1.1,-0.26667,1
252,11:22:24.80,2.73599,-0.04558,3.77954,-0.36667,2.96667,0.43333,1
253,11:22:24.87,2.547,0.45,3.06673,-0.36667,4.0,1.8,1
254,11:22:24.93,1.6736,-0.34231,1.44777,-0.76667,4.0,2.5,1
255,11:22:25.00,0.30812,-0.19777,0.27504,-0.8,3.26667,2.93333,1
256,11:22:25.06,-1.25288,0.25611,-0.17261,-0.36667,1.96667,2.66667,1
257,11:22:25.12,-3.15742,-0.31291,-0.4712,-0.03333,1.53333,2.3,1
258,11:22:25.19,-3.32354,-0.71263,-0.3672,-0.1,1.7,2.0,1
259,11:22:25.25,-4.35098,-0.4054,-0.34535,0.03333,1.23333,1.43333,1
260,11:22:25.31,-5.81873,-0.29072,-0.05392,0.2,0.8,1.03333,1
261,11:22:25.37,-5.79973,-0.34972,-0.01102,0.2,0.63333,0.73333,1
262,11:22:25.43,-6.48573,-0.41858,-0.03866,0.13333,0.23333,0.3,1
263,11:22:25.50,-5.91035,-0.41872,-0.1797,0.0,-0.06667,-0.13333,1
264,11:22:25.56,-5.11854,0.9676,-0.06559,-0.13333,-0.46667,-0.56667,1
265,11:22:25.63,-4.54042,1.14736,-0.04082,-0.2,-0.7,-0.9,1
266,11:22:25.69,-4.36315,1.25622,-0.0228,-0.03333,-1.43333,-1.36667,1
267,11:22:25.75,-2.41302,0.19502,-0.3718,0.26667,-2.76667,-2.03333,1
268,11:22:25.81,-1.73561,0.48211,-0.67994,0.36667,-2.1,-2.2,1
269,11:22:25.88,0.54228,1.59,-0.0306,0.66667,-2.8,-2.16667,1
270,11:22:25.94,1.92119,0.89638,0.1274,0.63333,-2.53333,-2.06667,1
271,11:22:26.01,3.68435,1.30879,1.0572,0.83333,-2.96667,-1.6,1
272,11:22:26.07,2.81883,2.25336,1.28169,1.06667,-3.0,-1.0,1
273,11:22:26.13,3.94451,1.374,1.91931,0.83333,-3.33333,-0.76667,1
274,11:22:26.20,2.343,1.85429,1.0883,0.76667,-1.83333,-0.5,1
275,11:22:26.26,4.11262,2.28149,2.84886,0.53333,-3.2,-0.0,1
276,11:22:26.32,2.31301,1.16661,0.80643,-0.1,0.66667,-0.2,1
277,11:22:26.38,3.29425,1.26384,0.83383,0.16667,0.0,-0.13333,1
278,11:22:26.45,2.97077,1.21484,1.00067,-0.03333,-0.23333,-0.1,1
279,11:22:26.51,2.87261,1.33284,1.184,0.16667,0.33333,-0.1,1
280,11:22:26.57,2.60449,1.13449,0.62624,-0.06667,-0.06667,-0.03333,1
281,11:22:26.64,2.38662,1.37049,0.31114,-0.03333,0.16667,-0.06667,1
282,11:22:26.70,2.40662,1.01462,0.14613,-0.13333,0.06667,-0.1,1
283,11:22:26.77,2.32529,1.21062,0.00936,0.0,0.06667,-0.03333,1
284,11:22:26.83,2.50229,0.89429,0.1019,-0.06667,0.0,-0.03333,1
285,11:22:26.89,2.12242,0.94329,0.31825,0.03333,0.0,-0.0,1
286,11:22:26.96,1.913,0.40154,0.258,0.0,0.03333,-0.06667,1
287,11:22:27.02,1.79742,0.38842,0.32062,0.0,0.0,-0.03333,1
288,11:22:27.08,1.64536,0.42742,0.14817,0.0,0.1,-0.06667,1
289,11:22:27.15,1.146,0.286,0.21421,0.0,0.0,-0.03333,1
290,11:22:27.21,1.088,0.267,0.12233,0.03333,0.1,-0.06667,0
291,11:22:27.27,1.10279,0.32131,0.31626,0.03333,0.0,-0.03333,0
292,11:22:27.33,0.74564,0.48831,0.39768,0.1,0.03333,-0.03333,0
293,11:22:27.40,0.75464,-0.00169,0.7666,0.03333,-0.13333,-0.03333,0
294,11:22:27.46,0.71669,0.14042,-0.05113,-0.03333,0.5,-0.03333,0
295,11:22:27.52,0.63058,0.12636,0.11677,-0.03333,-0.06667,-0.0,0
296,11:22:27.59,0.39558,-0.34879,0.30335,0.03333,-0.23333,-0.0,0
297,11:22:27.65,0.605,-0.07964,0.53433,0.0,-0.23333,-0.03333,0
298,11:22:27.71,0.63869,-0.14279,0.33054,-0.03333,-0.13333,0.03333,0
299,11:22:27.77,0.55969,-0.20179,0.02392,0.03333,-0.06667,-0.0,0
300,11:22:27.84,0.42269,-0.12279,-0.02457,0.0,0.0,-0.0,0
301,11:22:27.90,0.57969,-0.20179,0.15121,0.03333,0.0,-0.0,0
302,11:22:27.96,0.43269,-0.20179,0.15375,0.03333,0.03333,-0.0,0
303,11:22:28.02,0.42269,-0.20179,0.16252,0.0,0.0,0.03333,0
304,11:22:28.09,0.30469,-0.08379,0.40811,0.06667,-0.1,0.03333,0
305,11:22:28.15,0.43269,-0.25079,0.35883,-0.06667,0.03333,-0.0,0
306,11:22:28.22,0.34469,-0.30979,0.15887,0.0,0.0,-0.0,0
307,11:22:28.28,0.183,-0.05479,0.20928,0.0,0.06667,-0.0,0
308,11:22:28.34,0.458,-0.13279,0.31917,0.0,-0.03333,-0.0,0
309,11:22:28.41,0.233,-0.23079,0.12211,0.03333,0.0,-0.03333,0
310,11:22:28.47,0.35,-0.07379,0.20815,0.0,0.03333,-0.0,0
311,11:22:28.54,0.164,-0.14279,0.14147,0.03333,-0.03333,-0.03333,0
312,11:22:28.60,0.291,0.04421,0.22791,0.06667,0.03333,-0.0,0
313,11:22:28.66,0.35,-0.08379,0.18869,0.03333,0.0,-0.0,0
314,11:22:28.73,0.262,-0.06379,0.22663,0.03333,0.0,-0.0,0
315,11:22:28.79,0.331,0.11221,0.22293,0.03333,0.1,0.03333,0
316,11:22:28.85,0.233,-0.01479,0.25218,0.06667,-0.1,-0.0,0
317,11:22:28.91,0.36,-0.10379,0.29677,0.03333,0.03333,-0.0,0
318,11:22:28.98,0.321,-0.00579,0.16495,0.0,0.0,-0.0,0
319,11:22:29.04,0.282,-0.343,0.19336,0.0,0.0,-0.0,0
